Montag,;1.1.18;9 Uhr;;;;;
;;11 Uhr;;;;;
;;13 Uhr;;;;;
;;15 Uhr;;;;;
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Dienstag,;2.1.18;9 Uhr;;;;;
;;11 Uhr;;;;;
;;13 Uhr;;;;;
;;15 Uhr;;;;;
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Mittwoch,;3.1.18;9 Uhr;;52;1;7;2
;;11 Uhr;;76;5;15;3
;;13 Uhr;;73;4;14;3
;;15 Uhr;;74;5;12;3
;;17 Uhr;;70;6;9;2
;;19 Uhr;;31;3;4;1
;;;;;;;
Donnerstag,;4.1.18;9 Uhr;;20;0;9;3
;;11 Uhr;;78;1;10;3
;;13 Uhr;;78;3;12;3
;;15 Uhr;;78;2;11;3
;;17 Uhr;;56;0;10;3
;;19 Uhr;;29;0;3;1
;;;;;;;
Freitag,;5.1.18;9 Uhr;;67;0;13;3
;;11 Uhr;;78;1;12;3
;;13 Uhr;;75;0;11;3
;;15 Uhr;;78;3;12;3
;;17 Uhr;;65;2;8;2
;;19 Uhr;;18;2;0;0
;;;;;;;
Samstag,;6.1.18;9 Uhr;;52;0;4;1
;;11 Uhr;;66;0;12;3
;;13 Uhr;;63;0;12;3
;;15 Uhr;;64;2;13;3
;;17 Uhr;;34;2;7;2
;;19 Uhr;;;;;
;;;;;;;
Montag,;8.1.18;9 Uhr;;71;2;9;3
;;11 Uhr;;76;2;7;2
;;13 Uhr;;76;4;8;3
;;15 Uhr;;76;3;8;3
;;17 Uhr;;66;4;10;3
;;19 Uhr;;35;1;5;2
;;;;;;;
Dienstag,;9.1.18;9 Uhr;;73;1;11;3
;;11 Uhr;;78;4;11;3
;;13 Uhr;;75;0;12;3
;;15 Uhr;;75;3;12;3
;;17 Uhr;;73;3;12;3
;;19 Uhr;;39;4;14;3
;;;;;;;
Mittwoch,;10.1.18;9 Uhr;;72;0;9;3
;;11 Uhr;;77;2;10;3
;;13 Uhr;;77;4;11;3
;;15 Uhr;;79;4;12;3
;;17 Uhr;;63;2;12;3
;;19 Uhr;;27;1;3;1
;;;;;;;
Donnerstag,;11.1.18;9 Uhr;;78;1;11;3
;;11 Uhr;;78;0;13;3
;;13 Uhr;;78;3;16;3
;;15 Uhr;;78;2;18;3
;;17 Uhr;;65;0;8;2
;;19 Uhr;;32;2;8;2
;;;;;;;
Freitag,;12.1.18;9 Uhr;;73;3;9;2
;;11 Uhr;;74;3;14;3
;;13 Uhr;;69;2;8;2
;;15 Uhr;;75;8;9;2
;;17 Uhr;;78;5;8;2
;;19 Uhr;;35;2;4;1
;;;;;;;
Samstag,;13.1.18;9 Uhr;;48;2;8;3
;;11 Uhr;;61;1;9;3
;;13 Uhr;;69;0;9;3
;;15 Uhr;;65;3;9;3
;;17 Uhr;;41;1;0;0
;;19 Uhr;;;;;
;;;;;;;
Montag,;15.1.18;9 Uhr;;51;0;0;0
;;11 Uhr;;74;0;2;1
;;13 Uhr;;75;1;0;0
;;15 Uhr;;73;0;3;1
;;17 Uhr;;66;0;7;3
;;19 Uhr;;31;0;0;0
;;;;;;;
Dienstag,;16.1.18;9 Uhr;;49;0;0;0
;;11 Uhr;;78;5;7;3
;;13 Uhr;;79;3;11;3
;;15 Uhr;;73;2;9;3
;;17 Uhr;;55;3;5;1
;;19 Uhr;;25;1;8;2
;;;;;;;
Mittwoch,;17.1.18;9 Uhr;;55;0;9;3
;;11 Uhr;;77;1;9;3
;;13 Uhr;;77;6;12;3
;;15 Uhr;;77;8;12;3
;;17 Uhr;;51;2;6;2
;;19 Uhr;;16;0;4;1
;;;;;;;
Donnerstag,;18.1.18;9 Uhr;;57;0;10;3
;;11 Uhr;;78;1;10;3
;;13 Uhr;;71;3;12;3
;;15 Uhr;;76;2;14;3
;;17 Uhr;;48;4;8;2
;;19 Uhr;;22;0;3;1
;;;;;;;
Freitag,;19.1.18;9 Uhr;;33;0;4;1
;;11 Uhr;;56;2;4;1
;;13 Uhr;;58;0;5;2
;;15 Uhr;;57;2;8;3
;;17 Uhr;;43;0;4;1
;;19 Uhr;;16;2;0;0
;;;;;;;
Samstag,;20.1.18;9 Uhr;;35;0;9;3
;;11 Uhr;;63;1;12;3
;;13 Uhr;;68;0;11;3
;;15 Uhr;;63;0;12;3
;;17 Uhr;;36;0;13;3
;;19 Uhr;;;;;
;;;;;;;
Montag,;22.1.18;9 Uhr;;27;0;6;3
;;11 Uhr;;43;0;9;3
;;13 Uhr;;52;3;9;3
;;15 Uhr;;53;1;8;3
;;17 Uhr;;34;0;9;3
;;19 Uhr;;12;1;0;0
;;;;;;;
Dienstag,;23.1.18;9 Uhr;;25;0;3;1
;;11 Uhr;;55;0;8;2
;;13 Uhr;;66;2;7;2
;;15 Uhr;;70;1;11;3
;;17 Uhr;;58;2;2;1
;;19 Uhr;;19;0;4;2
;;;;;;;
Mittwoch,;24.1.18;9 Uhr;;41;1;12;3
;;11 Uhr;;53;2;11;3
;;13 Uhr;;65;0;11;3
;;15 Uhr;;63;2;10;3
;;17 Uhr;;43;0;10;3
;;19 Uhr;;17;1;2;1
;;;;;;;
Donnerstag,;25.1.18;9 Uhr;;32;1;4;1
;;11 Uhr;;58;0;12;3
;;13 Uhr;;63;2;13;3
;;15 Uhr;;55;2;12;3
;;17 Uhr;;40;2;6;2
;;19 Uhr;;25;0;5;2
;;;;;;;
Freitag,;26.1.18;9 Uhr;;19;0;0;0
;;11 Uhr;;35;1;0;0
;;13 Uhr;;39;0;0;0
;;15 Uhr;;37;3;5;2
;;17 Uhr;;23;0;6;2
;;19 Uhr;;14;1;3;1
;;;;;;;
Samstag,;27.1.18;9 Uhr;;9;1;0;0
;;11 Uhr;;27;2;0;0
;;13 Uhr;;40;0;0;0
;;15 Uhr;;36;0;0;0
;;17 Uhr;;19;1;0;0
;;19 Uhr;;;;;
;;;;;;;
Montag,;29.1.18;9 Uhr;;11;0;0;0
;;11 Uhr;;24;0;0;0
;;13 Uhr;;23;0;2;1
;;15 Uhr;;32;1;0;0
;;17 Uhr;;27;0;0;0
;;19 Uhr;;7;0;0;0
;;;;;;;
Dienstag,;30.1.18;9 Uhr;;5;0;4;1
;;11 Uhr;;22;1;7;2
;;13 Uhr;;31;0;0;0
;;15 Uhr;;39;0;0;0
;;17 Uhr;;37;2;3;1
;;19 Uhr;;16;1;2;1
;;;;;;;
Mittwoch,;31.1.18;9 Uhr;;5;0;0;0
;;11 Uhr;;16;0;3;1
;;13 Uhr;;20;0;8;3
;;15 Uhr;;32;0;6;2
;;17 Uhr;;18;1;3;1
;;19 Uhr;;6;0;0;0
;;;;;;;
Donnerstag,;1.2.18;9 Uhr;;6;0;0;1
;;11 Uhr;;25;0;6;2
;;13 Uhr;;32;1;8;2
;;15 Uhr;;31;3;7;2
;;17 Uhr;;26;1;7;2
;;19 Uhr;;10;0;6;2
;;;;;;;
Freitag,;2.2.18;9 Uhr;;12;0;3;1
;;11 Uhr;;23;0;8;2
;;13 Uhr;;10;1;9;3
;;15 Uhr;;11;0;9;3
;;17 Uhr;;5;1;3;1
;;19 Uhr;;2;0;0;0
;;;;;;;
Samstag,;3.2.18;9 Uhr;;4;1;0;0
;;11 Uhr;;10;0;0;0
;;13 Uhr;;19;1;2;1
;;15 Uhr;;18;0;0;0
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;5.2.18;9 Uhr;;3;0;0;0
;;11 Uhr;;14;0;2;1
;;13 Uhr;;14;0;5;2
;;15 Uhr;;15;1;3;1
;;17 Uhr;;7;0;0;0
;;19 Uhr;;3;0;0;0
;;;;;;;
Dienstag,;6.2.18;9 Uhr;;7;0;0;0
;;11 Uhr;;18;1;0;0
;;13 Uhr;;14;2;5;2
;;15 Uhr;;15;1;5;2
;;17 Uhr;;17;1;6;2
;;19 Uhr;;9;0;3;1
;;;;;;;
Mittwoch,;7.2.18;9 Uhr;;7;0;0;0
;;11 Uhr;;20;0;2;1
;;13 Uhr;;22;1;2;1
;;15 Uhr;;29;0;3;1
;;17 Uhr;;16;2;3;1
;;19 Uhr;;6;0;0;0
;;;;;;;
Donnerstag,;8.2.18;9 Uhr;;14;0;0;0
;;11 Uhr;;21;0;2;1
;;13 Uhr;;24;1;0;0
;;15 Uhr;;37;1;6;2
;;17 Uhr;;19;2;0;0
;;19 Uhr;;;;;
;;;;;;;
Freitag,;9.2.18;9 Uhr;;4;0;0;0
;;11 Uhr;;15;0;3;1
;;13 Uhr;;9;1;0;0
;;15 Uhr;;10;0;3;1
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Samstag,;10.2.18;9 Uhr;;;;;
;;11 Uhr;;;;;
;;13 Uhr;;;;;
;;15 Uhr;;;;;
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;12.2.18;9 Uhr;;4;0;0;0
;;11 Uhr;;20;1;0;0
;;13 Uhr;;26;2;2;0
;;15 Uhr;;20;1;0;0
;;17 Uhr;;10;0;0;0
;;19 Uhr;;3;0;0;0
;;;;;;;
Dienstag,;13.2.18;9 Uhr;;6;0;0;0
;;11 Uhr;;19;0;4;2
;;13 Uhr;;26;0;4;2
;;15 Uhr;;31;0;6;3
;;17 Uhr;;23;1;8;3
;;19 Uhr;;9;1;3;1
;;;;;;;
Mittwoch,;14.2.18;9 Uhr;;6;0;3;1
;;11 Uhr;;24;2;2;1
;;13 Uhr;;17;0;5;2
;;15 Uhr;;23;0;9;3
;;17 Uhr;;17;1;7;2
;;19 Uhr;;6;0;2;1
;;;;;;;
Donnerstag,;15.2.18;9 Uhr;;1;0;0;0
;;11 Uhr;;12;0;3;1
;;13 Uhr;;23;1;4;1
;;15 Uhr;;20;2;2;1
;;17 Uhr;;15;1;2;1
;;19 Uhr;;7;2;2;1
;;;;;;;
Freitag,;16.2.18;9 Uhr;;7;0;0;0
;;11 Uhr;;9;1;0;0
;;13 Uhr;;14;1;0;0
;;15 Uhr;;17;0;2;1
;;17 Uhr;;12;1;2;1
;;19 Uhr;;5;0;1;0
;;;;;;;
Samstag,;17.2.18;9 Uhr;;3;0;2;1
;;11 Uhr;;11;0;0;0
;;13 Uhr;;16;2;0;0
;;15 Uhr;;19;3;3;1
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;19.2.18;9 Uhr;;;;;
;;11 Uhr;;;;;
;;13 Uhr;;;;;
;;15 Uhr;;;;;
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Dienstag,;20.2.18;9 Uhr;;6;0;0;0
;;11 Uhr;;18;0;3;1
;;13 Uhr;;19;1;5;2
;;15 Uhr;;23;1;4;2
;;17 Uhr;;18;1;0;0
;;19 Uhr;;7;1;2;1
;;;;;;;
Mittwoch,;21.2.18;9 Uhr;;9;0;0;0
;;11 Uhr;;20;3;6;2
;;13 Uhr;;24;2;10;3
;;15 Uhr;;36;0;9;3
;;17 Uhr;;23;0;4;2
;;19 Uhr;;7;0;0;0
;;;;;;;
Donnerstag,;22.2.18;9 Uhr;;10;0;2;1
;;11 Uhr;;29;0;3;1
;;13 Uhr;;22;6;3;1
;;15 Uhr;;29;1;8;2
;;17 Uhr;;26;0;0;0
;;19 Uhr;;5;0;0;0
;;;;;;;
Freitag,;23.2.18;9 Uhr;;5;0;0;0
;;11 Uhr;;17;1;2;1
;;13 Uhr;;28;1;2;1
;;15 Uhr;;42;2;3;1
;;17 Uhr;;26;1;0;0
;;19 Uhr;;8;1;0;0
;;;;;;;
Samstag,;24.2.18;9 Uhr;;9;0;0;0
;;11 Uhr;;17;1;0;0
;;13 Uhr;;21;0;3;1
;;15 Uhr;;32;0;8;3
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;26.2.18;9 Uhr;;10;0;0;0
;;11 Uhr;;20;0;0;0
;;13 Uhr;;28;3;0;0
;;15 Uhr;;25;0;5;2
;;17 Uhr;;26;1;0;0
;;19 Uhr;;15;0;0;0
;;;;;;;
Dienstag,;27.2.18;9 Uhr;;15;0;2;1
;;11 Uhr;;20;0;3;1
;;13 Uhr;;19;1;13;3
;;15 Uhr;;22;2;7;2
;;17 Uhr;;25;0;3;1
;;19 Uhr;;9;0;0;6
;;;;;;;
Mittwoch,;28.2.18;9 Uhr;;6;0;4;1
;;11 Uhr;;22;0;4;1
;;13 Uhr;;31;2;10;2
;;15 Uhr;;37;2;10;2
;;17 Uhr;;29;2;8;3
;;19 Uhr;;12;0;4;2
;;;;;;;
Donnerstag,;1.3.18;9 Uhr;;8;0;13;3
;;11 Uhr;;8;0;15;3
;;13 Uhr;;12;3;3;1
;;15 Uhr;;24;1;6;2
;;17 Uhr;;14;2;6;2
;;19 Uhr;;5;0;0;0
;;;;;;;
Freitag,;2.3.18;9 Uhr;;9;0;2;1
;;11 Uhr;;28;1;2;1
;;13 Uhr;;35;3;0;0
;;15 Uhr;;46;0;3;0
;;17 Uhr;;18;1;0;0
;;19 Uhr;;8;0;0;0
;;;;;;;
Samstag,;3.3.18;9 Uhr;;10;0;0;0
;;11 Uhr;;23;2;0;0
;;13 Uhr;;34;1;0;0
;;15 Uhr;;38;4;0;0
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;5.3.18;9 Uhr;;13;0;7;2
;;11 Uhr;;33;1;4;1
;;13 Uhr;;45;2;2;1
;;15 Uhr;;49;1;4;2
;;17 Uhr;;42;2;2;1
;;19 Uhr;;18;0;0;0
;;;;;;;
Dienstag,;6.3.18;9 Uhr;;6;0;0;0
;;11 Uhr;;21;1;4;2
;;13 Uhr;;34;3;14;3
;;15 Uhr;;42;1;16;3
;;17 Uhr;;41;1;9;3
;;19 Uhr;;9;0;0;0
;;;;;;;
Mittwoch,;7.3.18;9 Uhr;;10;0;0;0
;;11 Uhr;;19;2;9;3
;;13 Uhr;;16;3;8;3
;;15 Uhr;;51;0;9;3
;;17 Uhr;;31;1;6;2
;;19 Uhr;;6;0;0;0
;;;;;;;
Donnerstag,;8.3.18;9 Uhr;;15;0;3;1
;;11 Uhr;;43;0;12;3
;;13 Uhr;;29;0;2;1
;;15 Uhr;;44;0;0;0
;;17 Uhr;;39;1;0;0
;;19 Uhr;;10;0;0;0
;;;;;;;
Freitag,;9.3.18;9 Uhr;;7;0;0;0
;;11 Uhr;;34;0;2;1
;;13 Uhr;;32;1;3;1
;;15 Uhr;;38;1;4;1
;;17 Uhr;;25;0;5;2
;;19 Uhr;;7;0;2;1
;;;;;;;
Samstag,;10.3.18;9 Uhr;;15;1;0;0
;;11 Uhr;;34;0;8;3
;;13 Uhr;;37;2;9;3
;;15 Uhr;;36;0;8;3
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;12.3.18;9 Uhr;;16;1;5;2
;;11 Uhr;;43;3;6;2
;;13 Uhr;;44;1;5;2
;;15 Uhr;;61;2;7;2
;;17 Uhr;;43;2;2;1
;;19 Uhr;;11;0;2;1
;;;;;;;
Dienstag,;13.3.18;9 Uhr;;14;0;2;1
;;11 Uhr;;35;0;11;3
;;13 Uhr;;35;0;2;1
;;15 Uhr;;42;0;7;3
;;17 Uhr;;37;0;8;3
;;19 Uhr;;15;0;0;0
;;;;;;;
Mittwoch,;14.3.18;9 Uhr;;13;0;0;0
;;11 Uhr;;34;0;4;2
;;13 Uhr;;43;1;11;3
;;15 Uhr;;56;1;13;3
;;17 Uhr;;40;1;9;3
;;19 Uhr;;12;0;0;0
;;;;;;;
Donnerstag,;15.3.18;9 Uhr;;11;0;8;2
;;11 Uhr;;34;0;11;3
;;13 Uhr;;44;5;5;2
;;15 Uhr;;43;0;10;3
;;17 Uhr;;38;1;7;3
;;19 Uhr;;15;0;0;0
;;;;;;;
Freitag,;16.3.18;9 Uhr;;6;0;2;1
;;11 Uhr;;37;0;6;3
;;13 Uhr;;34;1;2;1
;;15 Uhr;;42;2;7;2
;;17 Uhr;;29;1;2;1
;;19 Uhr;;8;1;0;0
;;;;;;;
Samstag,;17.3.18;9 Uhr;;9;0;5;1
;;11 Uhr;;35;1;10;3
;;13 Uhr;;33;0;3;1
;;15 Uhr;;38;1;6;3
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;19.3.18;9 Uhr;;;;;
;;11 Uhr;;;;;
;;13 Uhr;;;;;
;;15 Uhr;;;;;
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Dienstag,;20.3.18;9 Uhr;;13;0;0;0
;;11 Uhr;;45;0;10;3
;;13 Uhr;;51;0;10;3
;;15 Uhr;;61;2;7;2
;;17 Uhr;;58;2;10;2
;;19 Uhr;;22;9;2;1
;;;;;;;
Mittwoch,;21.3.18;9 Uhr;;18;0;4;2
;;11 Uhr;;33;1;9;3
;;13 Uhr;;34;0;6;2
;;15 Uhr;;47;0;11;3
;;17 Uhr;;40;0;6;2
;;19 Uhr;;12;2;2;1
;;;;;;;
Donnerstag,;22.3.18;9 Uhr;;12;0;14;3
;;11 Uhr;;32;0;15;3
;;13 Uhr;;36;0;14;3
;;15 Uhr;;45;0;14;3
;;17 Uhr;;34;0;14;3
;;19 Uhr;;14;0;0;0
;;;;;;;
Freitag,;23.3.18;9 Uhr;;9;0;0;0
;;11 Uhr;;28;0;5;2
;;13 Uhr;;32;1;4;2
;;15 Uhr;;37;0;8;2
;;17 Uhr;;22;1;8;2
;;19 Uhr;;5;0;3;1
;;;;;;;
Samstag,;24.3.18;9 Uhr;;12;0;0;0
;;11 Uhr;;27;0;10;3
;;13 Uhr;;39;1;8;3
;;15 Uhr;;36;2;8;3
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;26.3.18;9 Uhr;;7;0;4;1
;;11 Uhr;;33;0;12;3
;;13 Uhr;;26;1;11;3
;;15 Uhr;;31;0;10;3
;;17 Uhr;;30;1;11;3
;;19 Uhr;;14;2;2;1
;;;;;0;;
Dienstag,;27.3.18;9 Uhr;;7;0;1;1
;;11 Uhr;;26;0;11;3
;;13 Uhr;;31;3;3;1
;;15 Uhr;;36;4;11;3
;;17 Uhr;;42;2;12;3
;;19 Uhr;;13;0;4;1
;;;;;;;
Mittwoch,;28.3.18;9 Uhr;;7;0;10;3
;;11 Uhr;;34;0;14;3
;;13 Uhr;;32;1;10;3
;;15 Uhr;;49;1;8;2
;;17 Uhr;;36;1;8;2
;;19 Uhr;;9;0;0;0
;;;;;;;
Donnerstag,;29.3.18;9 Uhr;;10;0;5;2
;;11 Uhr;;37;0;12;3
;;13 Uhr;;42;0;7;2
;;15 Uhr;;52;0;9;2
;;17 Uhr;;42;0;3;1
;;19 Uhr;;;;;
;;;;;;;
Freitag,;30.3.18;9 Uhr;;;;;
;;11 Uhr;;;;;
;;13 Uhr;;;;;
;;15 Uhr;;;;;
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Samstag,;31.3.18;9 Uhr;;;;;
;;11 Uhr;;;;;
;;13 Uhr;;;;;
;;15 Uhr;;;;;
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;2.4.18;9 Uhr;;;;;
;;11 Uhr;;;;;
;;13 Uhr;;;;;
;;15 Uhr;;;;;
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Dienstag,;3.4.18;9 Uhr;;14;0;4;1
;;11 Uhr;;45;0;14;3
;;13 Uhr;;61;0;12;3
;;15 Uhr;;68;1;12;3
;;17 Uhr;;34;2;11;3
;;19 Uhr;;8;2;0;0
;;;;;;;
Mittwoch,;4.4.18;9 Uhr;;24;0;1;1
;;11 Uhr;;48;0;10;3
;;13 Uhr;;61;4;11;3
;;15 Uhr;;60;1;11;3
;;17 Uhr;;36;1;9;3
;;19 Uhr;;12;1;0;0
;;;;;;;
Donnerstag,;5.4.18;9 Uhr;;18;0;10;2
;;11 Uhr;;59;0;15;3
;;13 Uhr;;51;3;9;3
;;15 Uhr;;65;1;9;2
;;17 Uhr;;45;0;9;2
;;19 Uhr;;14;0;2;1
;;;;;;;
Freitag,;6.4.18;9 Uhr;;15;0;2;1
;;11 Uhr;;45;0;8;2
;;13 Uhr;;49;0;10;3
;;15 Uhr;;56;0;11;3
;;17 Uhr;;23;1;4;2
;;19 Uhr;;8;0;0;0
;;;;;;;
Samstag,;7.4.18;9 Uhr;;15;0;0;0
;;11 Uhr;;42;0;3;1
;;13 Uhr;;37;0;3;1
;;15 Uhr;;36;4;8;3
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;9.4.18;9 Uhr;;17;0;7;3
;;11 Uhr;;35;1;12;3
;;13 Uhr;;45;6;7;2
;;15 Uhr;;58;2;9;3
;;17 Uhr;;49;0;5;2
;;19 Uhr;;16;1;3;1
;;;;;;;
Dienstag,;10.4.18;9 Uhr;;18;1;0;0
;;11 Uhr;;44;1;5;2
;;13 Uhr;;36;2;8;3
;;15 Uhr;;58;0;6;2
;;17 Uhr;;39;0;5;2
;;19 Uhr;;14;1;2;1
;;;;;;;
Mittwoch,;11.4.18;9 Uhr;;17;0;0;0
;;11 Uhr;;45;0;13;3
;;13 Uhr;;47;2;10;3
;;15 Uhr;;57;1;0;0
;;17 Uhr;;43;4;0;0
;;19 Uhr;;17;1;2;1
;;;;;;;
Donnerstag,;12.4.18;9 Uhr;;12;0;6;3
;;11 Uhr;;46;0;6;2
;;13 Uhr;;44;1;11;3
;;15 Uhr;;48;1;7;2
;;17 Uhr;;46;1;8;3
;;19 Uhr;;10;0;0;0
;;;;;;;
Freitag,;13.4.18;9 Uhr;;12;0;0;0
;;11 Uhr;;48;0;6;2
;;13 Uhr;;51;0;6;3
;;15 Uhr;;60;2;5;2
;;17 Uhr;;51;2;2;1
;;19 Uhr;;11;1;0;0
;;;;;;;
Samstag,;14.4.18;9 Uhr;;18;0;2;1
;;11 Uhr;;37;0;4;2
;;13 Uhr;;47;0;5;2
;;15 Uhr;;42;1;7;3
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;16.4.18;9 Uhr;;26;0;0;0
;;11 Uhr;;57;2;8;2
;;13 Uhr;;53;2;5;2
;;15 Uhr;;66;3;9;3
;;17 Uhr;;55;1;4;2
;;19 Uhr;;13;1;4;2
;;;;;;;
Dienstag,;17.4.18;9 Uhr;;22;0;0;0
;;11 Uhr;;46;1;2;1
;;13 Uhr;;47;1;0;0
;;15 Uhr;;51;0;0;0
;;17 Uhr;;43;4;3;1
;;19 Uhr;;9;0;0;0
;;;;;;;
Mittwoch,;18.4.18;9 Uhr;;21;0;0;0
;;11 Uhr;;48;0;7;3
;;13 Uhr;;47;0;9;3
;;15 Uhr;;60;0;10;2
;;17 Uhr;;54;0;6;3
;;19 Uhr;;21;0;2;1
;;;;;;;
Donnerstag,;19.4.18;9 Uhr;;11;0;7;3
;;11 Uhr;;45;1;8;3
;;13 Uhr;;26;0;8;3
;;15 Uhr;;36;1;5;2
;;17 Uhr;;52;1;3;1
;;19 Uhr;;27;0;3;3
;;;;;;;
Freitag,;20.4.18;9 Uhr;;9;0;0;0
;;11 Uhr;;43;1;6;2
;;13 Uhr;;51;0;6;2
;;15 Uhr;;59;0;6;2
;;17 Uhr;;45;1;2;1
;;19 Uhr;;16;0;0;0
;;;;;;;
Samstag,;21.4.18;9 Uhr;;16;0;3;1
;;11 Uhr;;32;0;3;1
;;13 Uhr;;35;0;3;1
;;15 Uhr;;43;0;3;1
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;23.4.18;9 Uhr;;11;0;6;2
;;11 Uhr;;37;0;6;2
;;13 Uhr;;38;1;12;3
;;15 Uhr;;63;1;2;1
;;17 Uhr;;48;1;4;2
;;19 Uhr;;9;0;0;0
;;;;;;;
Dienstag,;24.4.18;9 Uhr;;20;0;4;2
;;11 Uhr;;48;1;4;2
;;13 Uhr;;33;0;3;1
;;15 Uhr;;49;1;3;1
;;17 Uhr;;52;2;0;0
;;19 Uhr;;24;0;4;2
;;;;;;;
Mittwoch,;25.4.18;9 Uhr;;19;1;8;3
;;11 Uhr;;43;0;9;3
;;13 Uhr;;41;1;6;2
;;15 Uhr;;49;4;6;2
;;17 Uhr;;51;4;8;3
;;19 Uhr;;25;0;4;2
;;;;;;;
Donnerstag,;26.4.18;9 Uhr;;20;0;7;2
;;11 Uhr;;44;0;9;3
;;13 Uhr;;36;1;13;3
;;15 Uhr;;54;1;9;3
;;17 Uhr;;50;1;4;2
;;19 Uhr;;14;1;7;3
;;;;;;;
Freitag,;27.4.18;9 Uhr;;14;0;0;0
;;11 Uhr;;40;0;7;3
;;13 Uhr;;52;1;5;2
;;15 Uhr;;67;0;10;3
;;17 Uhr;;47;0;3;1
;;19 Uhr;;19;0;0;0
;;;;;;;
Samstag,;28.4.18;9 Uhr;;24;0;2;1
;;11 Uhr;;68;0;7;3
;;13 Uhr;;65;0;8;3
;;15 Uhr;;61;1;6;2
;;17 Uhr;;;;;
;;19 Uhr;;;;;
;;;;;;;
Montag,;30.4.18;9 Uhr;;21;0;5;2
;;11 Uhr;;5;1;12;3
;;13 Uhr;;45;0;2;1
;;15 Uhr;;56;1;5;2
