Montag,;1.1.18;9 Uhr;;;;
;;11 Uhr;;;;
;;13 Uhr;;;;
;;15 Uhr;;;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Dienstag,;2.1.18;9 Uhr;;;;
;;11 Uhr;;;;
;;13 Uhr;;;;
;;15 Uhr;;;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Mittwoch,;3.1.18;9 Uhr;0;69;;
;;11 Uhr;0;138;;
;;13 Uhr;0;122;;
;;15 Uhr;2;136;;
;;17 Uhr;3;112;;
;;19 Uhr;1;39;;
;;;;;;
Donnerstag,;4.1.18;9 Uhr;0;79;;
;;11 Uhr;0;132;;
;;13 Uhr;2;133;;
;;15 Uhr;4;145;;
;;17 Uhr;2;117;;
;;19 Uhr;0;31;;
;;;;;;
Freitag,;5.1.18;9 Uhr;0;89;;
;;11 Uhr;1;128;;
;;13 Uhr;2;134;;
;;15 Uhr;3;145;;
;;17 Uhr;2;111;;
;;19 Uhr;0;44;;
;;;;;;
Samstag,;6.1.18;9 Uhr;0;55;;
;;11 Uhr;0;92;;
;;13 Uhr;0;96;;
;;15 Uhr;0;103;;
;;17 Uhr;1;70;;
;;19 Uhr;;;;
;;;;;;
Montag,;8.1.18;9 Uhr;0;104;;
;;11 Uhr;0;138;;
;;13 Uhr;0;130;;
;;15 Uhr;3;141;;
;;17 Uhr;0;108;;
;;19 Uhr;0;40;;
;;;;;;
Dienstag,;9.1.18;9 Uhr;0;89;;
;;11 Uhr;2;145;;
;;13 Uhr;4;140;;
;;15 Uhr;4;160;;
;;17 Uhr;6;152;;
;;19 Uhr;1;56;;
;;;;;;
Mittwoch,;10.1.18;9 Uhr;1;106;;
;;11 Uhr;0;159;;
;;13 Uhr;0;155;;
;;15 Uhr;2;163;;
;;17 Uhr;0;143;;
;;19 Uhr;0;28;;
;;;;;;
Donnerstag,;11.1.18;9 Uhr;0;91;;
;;11 Uhr;1;131;;
;;13 Uhr;1;158;;
;;15 Uhr;3;163;;
;;17 Uhr;0;114;;
;;19 Uhr;0;65;;
;;;;;;
Freitag,;12.1.18;9 Uhr;1;74;;
;;11 Uhr;1;126;;
;;13 Uhr;0;128;;
;;15 Uhr;0;141;;
;;17 Uhr;2;124;;
;;19 Uhr;1;49;;
;;;;;;
Samstag,;13.1.18;9 Uhr;1;77;;
;;11 Uhr;0;104;;
;;13 Uhr;1;119;;
;;15 Uhr;2;123;;
;;17 Uhr;0;92;;
;;19 Uhr;;;;
;;;;;;
Montag,;15.1.18;9 Uhr;0;56;;
;;11 Uhr;0;91;;
;;13 Uhr;1;110;;
;;15 Uhr;0;134;;
;;17 Uhr;5;107;;
;;19 Uhr;3;38;;
;;;;;;
Dienstag,;16.1.18;9 Uhr;0;59;;
;;11 Uhr;0;131;;
;;13 Uhr;2;145;;
;;15 Uhr;3;151;;
;;17 Uhr;0;111;;
;;19 Uhr;0;39;;
;;;;;;
Mittwoch,;17.1.18;9 Uhr;0;69;;
;;11 Uhr;0;129;;
;;13 Uhr;0;134;;
;;15 Uhr;0;141;;
;;17 Uhr;0;103;;
;;19 Uhr;0;44;;
;;;;;;
Donnerstag,;18.1.18;9 Uhr;0;45;;
;;11 Uhr;0;88;;
;;13 Uhr;0;99;;
;;15 Uhr;1;93;;
;;17 Uhr;0;86;;
;;19 Uhr;0;33;;
;;;;;;
Freitag,;19.1.18;9 Uhr;0;41;;
;;11 Uhr;1;91;;
;;13 Uhr;0;88;;
;;15 Uhr;0;98;;
;;17 Uhr;0;70;;
;;19 Uhr;0;28;;
;;;;;;
Samstag,;20.1.18;9 Uhr;0;46;;
;;11 Uhr;0;102;;
;;13 Uhr;0;98;;
;;15 Uhr;2;103;;
;;17 Uhr;1;89;;
;;19 Uhr;;;;
;;;;;;
Montag,;22.1.18;9 Uhr;0;38;;
;;11 Uhr;0;93;;
;;13 Uhr;0;99;;
;;15 Uhr;0;109;;
;;17 Uhr;0;78;;
;;19 Uhr;0;31;;
;;;;;;
Dienstag,;23.1.18;9 Uhr;0;25;;
;;11 Uhr;0;78;;
;;13 Uhr;1;80;;
;;15 Uhr;2;89;;
;;17 Uhr;0;71;;
;;19 Uhr;0;22;;
;;;;;;
Mittwoch,;24.1.18;9 Uhr;0;57;;
;;11 Uhr;1;78;;
;;13 Uhr;0;82;;
;;15 Uhr;1;74;;
;;17 Uhr;0;56;;
;;19 Uhr;1;12;;
;;;;;;
Donnerstag,;25.1.18;9 Uhr;0;26;;
;;11 Uhr;0;52;;
;;13 Uhr;1;57;;
;;15 Uhr;0;63;;
;;17 Uhr;0;45;;
;;19 Uhr;0;22;;
;;;;;;
Freitag,;26.1.18;9 Uhr;0;21;;
;;11 Uhr;1;38;;
;;13 Uhr;1;36;;
;;15 Uhr;0;46;;
;;17 Uhr;0;28;;
;;19 Uhr;0;7;;
;;;;;;
Samstag,;27.1.18;9 Uhr;0;9;;
;;11 Uhr;0;29;;
;;13 Uhr;0;31;;
;;15 Uhr;0;32;;
;;17 Uhr;0;21;;
;;19 Uhr;;;;
;;;;;;
Montag,;29.1.18;9 Uhr;0;17;;
;;11 Uhr;0;32;;
;;13 Uhr;0;35;;
;;15 Uhr;0;30;;
;;17 Uhr;0;20;;
;;19 Uhr;0;5;;
;;;;;;
Dienstag,;30.1.18;9 Uhr;0;9;;
;;11 Uhr;0;27;;
;;13 Uhr;0;26;;
;;15 Uhr;0;36;;
;;17 Uhr;1;35;;
;;19 Uhr;0;12;;
;;;;;;
Mittwoch,;31.1.18;9 Uhr;0;9;;
;;11 Uhr;0;20;;
;;13 Uhr;0;27;;
;;15 Uhr;0;29;;
;;17 Uhr;0;28;;
;;19 Uhr;0;9;;
;;;;;;
Donnerstag,;1.2.18;9 Uhr;0;7;;
;;11 Uhr;0;19;;
;;13 Uhr;0;34;;
;;15 Uhr;0;38;;
;;17 Uhr;0;27;;
;;19 Uhr;0;12;;
;;;;;;
Freitag,;2.2.18;9 Uhr;0;16;;
;;11 Uhr;0;30;;
;;13 Uhr;0;33;;
;;15 Uhr;0;31;;
;;17 Uhr;0;17;;
;;19 Uhr;0;4;;
;;;;;;
Samstag,;3.2.18;9 Uhr;0;6;;
;;11 Uhr;0;10;;
;;13 Uhr;0;24;;
;;15 Uhr;0;25;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;5.2.18;9 Uhr;1;7;;
;;11 Uhr;0;22;;
;;13 Uhr;0;21;;
;;15 Uhr;0;15;;
;;17 Uhr;0;11;;
;;19 Uhr;0;11;;
;;;;;;
Dienstag,;6.2.18;9 Uhr;0;12;;
;;11 Uhr;0;28;;
;;13 Uhr;0;26;;
;;15 Uhr;2;35;;
;;17 Uhr;1;29;;
;;19 Uhr;0;10;;
;;;;;;
Mittwoch,;7.2.18;9 Uhr;0;13;;
;;11 Uhr;0;26;;
;;13 Uhr;0;27;;
;;15 Uhr;0;30;;
;;17 Uhr;0;21;;
;;19 Uhr;0;3;;
;;;;;;
Donnerstag,;8.2.18;9 Uhr;1;15;;
;;11 Uhr;0;23;;
;;13 Uhr;0;25;;
;;15 Uhr;2;31;;
;;17 Uhr;2;16;;
;;19 Uhr;0;0;;
;;;;;;
Freitag,;9.2.18;9 Uhr;0;2;;
;;11 Uhr;0;10;;
;;13 Uhr;0;15;;
;;15 Uhr;0;18;;
;;17 Uhr;0;0;;
;;19 Uhr;0;0;;
;;;;;;
Samstag,;10.2.18;9 Uhr;;;;
;;11 Uhr;;;;
;;13 Uhr;;;;
;;15 Uhr;;;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;12.2.18;9 Uhr;0;8;;
;;11 Uhr;0;16;;
;;13 Uhr;0;20;;
;;15 Uhr;0;27;;
;;17 Uhr;0;14;;
;;19 Uhr;0;6;;
;;;;;;
Dienstag,;13.2.18;9 Uhr;0;8;;
;;11 Uhr;0;10;;
;;13 Uhr;0;19;;
;;15 Uhr;1;30;;
;;17 Uhr;2;24;;
;;19 Uhr;0;5;;
;;;;;;
Mittwoch,;14.2.18;9 Uhr;0;9;;
;;11 Uhr;0;26;;
;;13 Uhr;0;19;;
;;15 Uhr;0;25;;
;;17 Uhr;1;13;;
;;19 Uhr;0;5;;
;;;;;;
Donnerstag,;15.2.18;9 Uhr;0;9;;
;;11 Uhr;0;15;;
;;13 Uhr;0;22;;
;;15 Uhr;0;26;;
;;17 Uhr;0;17;;
;;19 Uhr;0;4;;
;;;;;;
Freitag,;16.2.18;9 Uhr;0;9;;
;;11 Uhr;0;20;;
;;13 Uhr;2;25;;
;;15 Uhr;0;23;;
;;17 Uhr;0;12;;
;;19 Uhr;0;0;;
;;;;;;
Samstag,;17.2.18;9 Uhr;0;5;;
;;11 Uhr;0;12;;
;;13 Uhr;0;18;;
;;15 Uhr;1;14;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;19.2.18;9 Uhr;0;10;;
;;11 Uhr;0;27;;
;;13 Uhr;0;23;;
;;15 Uhr;0;36;;
;;17 Uhr;1;18;;
;;19 Uhr;0;4;;
;;;;;;
Dienstag,;20.2.18;9 Uhr;0;10;;
;;11 Uhr;0;27;;
;;13 Uhr;0;23;;
;;15 Uhr;0;36;;
;;17 Uhr;1;18;;
;;19 Uhr;0;4;;
;;;;;;
Mittwoch,;21.2.18;9 Uhr;0;22;;
;;11 Uhr;0;38;;
;;13 Uhr;1;31;;
;;15 Uhr;0;35;;
;;17 Uhr;0;21;;
;;19 Uhr;0;9;;
;;;;;;
Donnerstag,;22.2.18;9 Uhr;0;19;;
;;11 Uhr;0;33;;
;;13 Uhr;0;26;;
;;15 Uhr;0;28;;
;;17 Uhr;0;17;;
;;19 Uhr;0;8;;
;;;;;;
Freitag,;23.2.18;9 Uhr;0;7;;
;;11 Uhr;0;24;;
;;13 Uhr;0;39;;
;;15 Uhr;1;36;;
;;17 Uhr;0;18;;
;;19 Uhr;0;5;;
;;;;;;
Samstag,;24.2.18;9 Uhr;0;11;;
;;11 Uhr;0;24;;
;;13 Uhr;0;27;;
;;15 Uhr;0;30;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;26.2.18;9 Uhr;0;15;;
;;11 Uhr;0;20;;
;;13 Uhr;0;18;;
;;15 Uhr;0;23;;
;;17 Uhr;0;22;;
;;19 Uhr;0;10;;
;;;;;;
Dienstag,;27.2.18;9 Uhr;0;17;;
;;11 Uhr;0;28;;
;;13 Uhr;0;26;;
;;15 Uhr;1;46;;
;;17 Uhr;0;31;;
;;19 Uhr;0;3;;
;;;;;;
Mittwoch,;28.2.18;9 Uhr;0;6;;
;;11 Uhr;0;29;;
;;13 Uhr;1;32;;
;;15 Uhr;0;41;;
;;17 Uhr;0;36;;
;;19 Uhr;0;8;;
;;;;;;
Donnerstag,;1.3.18;9 Uhr;0;9;;
;;11 Uhr;0;29;;
;;13 Uhr;0;29;;
;;15 Uhr;0;37;;
;;17 Uhr;0;27;;
;;19 Uhr;0;13;;
;;;;;;
Freitag,;2.3.18;9 Uhr;0;11;;
;;11 Uhr;0;30;;
;;13 Uhr;1;34;;
;;15 Uhr;0;43;;
;;17 Uhr;0;25;;
;;19 Uhr;0;8;;
;;;;;;
Samstag,;3.3.18;9 Uhr;0;6;;
;;11 Uhr;0;28;;
;;13 Uhr;0;32;;
;;15 Uhr;0;31;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;5.3.18;9 Uhr;0;18;;
;;11 Uhr;0;27;;
;;13 Uhr;0;34;;
;;15 Uhr;0;37;;
;;17 Uhr;0;27;;
;;19 Uhr;0;8;;
;;;;;;
Dienstag,;6.3.18;9 Uhr;0;9;;
;;11 Uhr;0;28;;
;;13 Uhr;1;28;;
;;15 Uhr;1;54;;
;;17 Uhr;0;31;;
;;19 Uhr;0;8;;
;;;;;;
Mittwoch,;7.3.18;9 Uhr;0;11;;
;;11 Uhr;0;15;;
;;13 Uhr;1;23;;
;;15 Uhr;0;49;;
;;17 Uhr;0;45;;
;;19 Uhr;1;14;;
;;;;;;
Donnerstag,;8.3.18;9 Uhr;0;19;;
;;11 Uhr;0;40;;
;;13 Uhr;0;39;;
;;15 Uhr;1;46;;
;;17 Uhr;0;23;;
;;19 Uhr;1;7;;
;;;;;;
Freitag,;9.3.18;9 Uhr;0;13;;
;;11 Uhr;0;36;;
;;13 Uhr;0;36;;
;;15 Uhr;0;47;;
;;17 Uhr;0;39;;
;;19 Uhr;0;14;;
;;;;;;
Samstag,;10.3.18;9 Uhr;0;18;;
;;11 Uhr;0;33;;
;;13 Uhr;2;39;;
;;15 Uhr;0;37;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;12.3.18;9 Uhr;0;16;;
;;11 Uhr;0;33;;
;;13 Uhr;0;30;;
;;15 Uhr;1;41;;
;;17 Uhr;0;24;;
;;19 Uhr;0;8;;
;;;;;;
Dienstag,;13.3.18;9 Uhr;0;21;;
;;11 Uhr;1;52;;
;;13 Uhr;0;42;;
;;15 Uhr;1;56;;
;;17 Uhr;0;41;;
;;19 Uhr;0;15;;
;;;;;;
Mittwoch,;14.3.18;9 Uhr;0;18;;
;;11 Uhr;0;38;;
;;13 Uhr;0;29;;
;;15 Uhr;0;39;;
;;17 Uhr;0;47;;
;;19 Uhr;1;11;;
;;;;;;
Donnerstag,;15.3.18;9 Uhr;0;14;;
;;11 Uhr;0;33;;
;;13 Uhr;0;43;;
;;15 Uhr;0;51;;
;;17 Uhr;0;38;;
;;19 Uhr;0;13;;
;;;;;;
Freitag,;16.3.18;9 Uhr;0;16;;
;;11 Uhr;0;46;;
;;13 Uhr;1;45;;
;;15 Uhr;0;53;;
;;17 Uhr;0;44;;
;;19 Uhr;0;11;;
;;;;;;
Samstag,;17.3.18;9 Uhr;0;8;;
;;11 Uhr;0;43;;
;;13 Uhr;0;57;;
;;15 Uhr;0;42;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;19.3.18;9 Uhr;;;;
;;11 Uhr;;;;
;;13 Uhr;;;;
;;15 Uhr;;;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Dienstag,;20.3.18;9 Uhr;0;13;;
;;11 Uhr;0;47;;
;;13 Uhr;0;50;;
;;15 Uhr;0;72;;
;;17 Uhr;0;56;;
;;19 Uhr;0;10;;
;;;;;;
Mittwoch,;21.3.18;9 Uhr;0;15;;
;;11 Uhr;0;37;;
;;13 Uhr;0;29;;
;;15 Uhr;0;46;;
;;17 Uhr;0;52;;
;;19 Uhr;0;12;;
;;;;;;
Donnerstag,;22.3.18;9 Uhr;1;12;;
;;11 Uhr;0;29;;
;;13 Uhr;0;35;;
;;15 Uhr;0;46;;
;;17 Uhr;0;41;;
;;19 Uhr;0;12;;
;;;;;;
Freitag,;23.3.18;9 Uhr;0;17;;
;;11 Uhr;0;39;;
;;13 Uhr;0;43;;
;;15 Uhr;0;32;;
;;17 Uhr;0;17;;
;;19 Uhr;0;13;;
;;;;;;
Samstag,;24.3.18;9 Uhr;0;24;;
;;11 Uhr;0;33;;
;;13 Uhr;0;50;;
;;15 Uhr;1;47;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;26.3.18;9 Uhr;0;23;;
;;11 Uhr;0;37;;
;;13 Uhr;1;41;;
;;15 Uhr;2;72;;
;;17 Uhr;0;56;;
;;19 Uhr;0;20;;
;;;;;;
Dienstag,;27.3.18;9 Uhr;0;18;;
;;11 Uhr;0;46;;
;;13 Uhr;1;43;;
;;15 Uhr;0;68;;
;;17 Uhr;0;54;;
;;19 Uhr;0;11;;
;;;;;;
Mittwoch,;28.3.18;9 Uhr;0;14;;
;;11 Uhr;0;36;;
;;13 Uhr;0;43;;
;;15 Uhr;0;60;;
;;17 Uhr;0;42;;
;;19 Uhr;0;8;;
;;;;;;
Donnerstag,;29.3.18;9 Uhr;0;12;;
;;11 Uhr;0;38;;
;;13 Uhr;1;45;;
;;15 Uhr;0;51;;
;;17 Uhr;0;24;;
;;19 Uhr;;;;
;;;;;;
Freitag,;30.3.18;9 Uhr;;;;
;;11 Uhr;;;;
;;13 Uhr;;;;
;;15 Uhr;;;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Samstag,;31.3.18;9 Uhr;;;;
;;11 Uhr;;;;
;;13 Uhr;;;;
;;15 Uhr;;;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;2.4.18;9 Uhr;;;;
;;11 Uhr;;;;
;;13 Uhr;;;;
;;15 Uhr;;;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Dienstag,;3.4.18;9 Uhr;0;25;;
;;11 Uhr;0;74;;
;;13 Uhr;0;77;;
;;15 Uhr;0;91;;
;;17 Uhr;0;67;;
;;19 Uhr;0;8;;
;;;;;;
Mittwoch,;4.4.18;9 Uhr;0;26;;
;;11 Uhr;0;61;;
;;13 Uhr;0;67;;
;;15 Uhr;1;93;;
;;17 Uhr;0;58;;
;;19 Uhr;1;22;;
;;;;;;
Donnerstag,;5.4.18;9 Uhr;0;22;;
;;11 Uhr;0;61;;
;;13 Uhr;0;46;;
;;15 Uhr;3;97;;
;;17 Uhr;0;52;;
;;19 Uhr;0;19;;
;;;;;;
Freitag,;6.4.18;9 Uhr;0;27;;
;;11 Uhr;0;61;;
;;13 Uhr;0;75;;
;;15 Uhr;0;91;;
;;17 Uhr;0;46;;
;;19 Uhr;0;5;;
;;;;;;
Samstag,;7.4.18;9 Uhr;0;24;;
;;11 Uhr;0;45;;
;;13 Uhr;0;51;;
;;15 Uhr;0;56;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;9.4.18;9 Uhr;0;22;;
;;11 Uhr;0;41;;
;;13 Uhr;0;49;;
;;15 Uhr;1;60;;
;;17 Uhr;0;51;;
;;19 Uhr;0;17;;
;;;;;;
Dienstag,;10.4.18;9 Uhr;0;35;;
;;11 Uhr;0;61;;
;;13 Uhr;0;60;;
;;15 Uhr;0;110;;
;;17 Uhr;0;42;;
;;19 Uhr;0;10;;
;;;;;;
Mittwoch,;11.4.18;9 Uhr;0;17;;
;;11 Uhr;0;48;;
;;13 Uhr;0;49;;
;;15 Uhr;1;68;;
;;17 Uhr;0;73;;
;;19 Uhr;0;14;;
;;;;;;
Donnerstag,;12.4.18;9 Uhr;0;22;;
;;11 Uhr;0;44;;
;;13 Uhr;0;35;;
;;15 Uhr;0;68;;
;;17 Uhr;0;55;;
;;19 Uhr;0;9;;
;;;;;;
Freitag,;13.4.18;9 Uhr;0;10;;
;;11 Uhr;1;59;;
;;13 Uhr;0;65;;
;;15 Uhr;0;81;;
;;17 Uhr;0;63;;
;;19 Uhr;0;21;;
;;;;;;
Samstag,;14.4.18;9 Uhr;0;11;;
;;11 Uhr;0;47;;
;;13 Uhr;0;36;;
;;15 Uhr;2;47;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;16.4.18;9 Uhr;0;45;;
;;11 Uhr;0;73;;
;;13 Uhr;0;94;;
;;15 Uhr;0;115;;
;;17 Uhr;0;103;;
;;19 Uhr;0;21;;
;;;;;;
Dienstag,;17.4.18;9 Uhr;0;40;;
;;11 Uhr;0;78;;
;;13 Uhr;0;60;;
;;15 Uhr;0;95;;
;;17 Uhr;0;58;;
;;19 Uhr;0;14;;
;;;;;;
Mittwoch,;18.4.18;9 Uhr;0;24;;
;;11 Uhr;0;42;;
;;13 Uhr;0;59;;
;;15 Uhr;0;79;;
;;17 Uhr;0;57;;
;;19 Uhr;0;25;;
;;;;;;
Donnerstag,;19.4.18;9 Uhr;0;19;;
;;11 Uhr;0;54;;
;;13 Uhr;0;49;;
;;15 Uhr;1;61;;
;;17 Uhr;1;45;;
;;19 Uhr;0;21;;
;;;;;;
Freitag,;20.4.18;9 Uhr;0;24;;
;;11 Uhr;0;57;;
;;13 Uhr;1;53;;
;;15 Uhr;1;63;;
;;17 Uhr;0;34;;
;;19 Uhr;1;8;;
;;;;;;
Samstag,;21.4.18;9 Uhr;0;62;;
;;11 Uhr;0;60;;
;;13 Uhr;1;61;;
;;15 Uhr;0;30;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;23.4.18;9 Uhr;0;36;;
;;11 Uhr;0;56;;
;;13 Uhr;1;50;;
;;15 Uhr;3;57;;
;;17 Uhr;0;43;;
;;19 Uhr;0;14;;
;;;;;;
Dienstag,;24.4.18;9 Uhr;0;37;;
;;11 Uhr;0;69;;
;;13 Uhr;0;49;;
;;15 Uhr;0;88;;
;;17 Uhr;0;76;;
;;19 Uhr;0;18;;
;;;;;;
Mittwoch,;25.4.18;9 Uhr;0;28;;
;;11 Uhr;0;66;;
;;13 Uhr;0;73;;
;;15 Uhr;0;109;;
;;17 Uhr;0;79;;
;;19 Uhr;0;22;;
;;;;;;
Donnerstag,;26.4.18;9 Uhr;0;33;;
;;11 Uhr;0;55;;
;;13 Uhr;0;36;;
;;15 Uhr;0;64;;
;;17 Uhr;1;55;;
;;19 Uhr;0;18;;
;;;;;;
Freitag,;27.4.18;9 Uhr;0;22;;
;;11 Uhr;1;56;;
;;13 Uhr;0;62;;
;;15 Uhr;0;86;;
;;17 Uhr;0;64;;
;;19 Uhr;2;21;;
;;;;;;
Samstag,;28.4.18;9 Uhr;0;17;;
;;11 Uhr;0;47;;
;;13 Uhr;0;67;;
;;15 Uhr;2;69;;
;;17 Uhr;;;;
;;19 Uhr;;;;
;;;;;;
Montag,;30.4.18;9 Uhr;0;36;;
;;11 Uhr;0;81;;
;;13 Uhr;0;77;;
;;15 Uhr;0;87;;
;;17 Uhr;0;74;;
;;19 Uhr;0;26;;
